"identifiant";"service";"nombre_augmentation";"nombre_promotion";"salaire_eqtp";"sexe";"conge_maternite_annee_precedente";"tranche_age"
43;"Compta Finances";0;0;8218.8167;"F";0;"50+"
44;"Commercial";1;0;8126.3;"F";0;"[40;50["
45;"RH";0;0;8108.099999999999;"F";0;"[30;40["
46;"Compta Finances";1;1;8073.2167;"H";0;"[40;50["
47;"Marketing";0;0;8056.5333;"F";0;"[40;50["
48;"Compta Finances";0;1;8056.5333;"F";0;"50+"
49;"Commercial";1;0;7942.7833;"F";0;"[40;50["
50;"Commercial";1;0;7927.616699999999;"H";0;"[40;50["
51;"Compta Finances";0;0;7898.8;"F";0;"50+"
52;"Compta Finances";0;0;7889.7;"F";0;"[30;40["
53;"RH";1;0;7877.566699999999;"F";0;"[40;50["
54;"Compta Finances";1;0;7753.199999999999;"H";0;"[40;50["
55;"Commercial";1;0;7713.766700000001;"H";0;"50+"
56;"RH";0;0;7710.7333;"H";0;"[30;40["
57;"RH";0;0;7687.9833;"F";0;"[40;50["
58;"Consultant";1;1;7672.8167;"F";0;"[40;50["
59;"Informatique";1;0;7654.6167;"H";0;"[40;50["
60;"RH";1;0;7637.9333;"F";0;"50+"
61;"Marketing";0;0;7637.9333;"H";0;"[30;40["
62;"Compta Finances";1;1;7601.5333;"F";0;"[40;50["
63;"Commercial";1;0;7496.8833;"F";0;"[40;50["
64;"Compta Finances";1;0;7377.0667;"F";0;"50+"
65;"Marketing";1;0;9198.583374999998;"H";0;"[30;40["
66;"Consultant";0;0;7308.816699999999;"F";0;"[30;40["
67;"Consultant";1;0;7304.2667;"F";0;"[30;40["
68;"Consultant";1;1;9086.35;"H";0;"50+"
69;"Marketing";0;0;7264.8333;"H";0;"50+"
70;"RH";1;1;7263.3167;"H";0;"50+"
71;"Compta Finances";1;0;7185.9667;"H";0;"50+"
72;"Marketing";1;1;7184.449999999999;"H";0;"[40;50["
73;"Consultant";1;0;7178.3833;"H";0;"[30;40["
74;"RH";0;0;7157.15;"F";0;"[30;40["
75;"RH";1;0;7148.050000000001;"F";1;"[30;40["
76;"Commercial";1;0;7098;"H";0;"[40;50["
77;"Informatique";0;0;7081.316699999999;"H";0;"50+"
78;"Consultant";0;1;6973.633300000001;"H";0;"50+"
79;"Commercial";0;1;6902.35;"F";0;"[30;40["
80;"Marketing";1;0;9978.15;"H";0;"50+"
81;"Commercial";1;0;6838.65;"F";1;"[30;40["
82;"Commercial";1;0;6818.9333;"F";0;"[40;50["
83;"Compta Finances";0;0;7375.549999999999;"F";0;"[40;50["
84;"Consultant";0;0;6591.4333;"F";0;"50+"
85;"Marketing";1;0;6583.85;"F";0;"50+"
86;"Informatique";0;1;6526.2167;"H";0;"50+"
87;"Informatique";0;0;6494.3667;"H";0;"[40;50["
88;"Consultant";1;0;6413.9833;"F";0;"[40;50["
89;"Consultant";0;0;6409.4333;"H";0;"50+"
90;"Consultant";1;0;6398.816699999999;"H";0;"[40;50["
91;"Informatique";1;0;6356.35;"F";0;"[30;40["
92;"Consultant";0;0;6301.75;"F";0;"50+"
93;"Commercial";1;0;6212.2667;"F";0;"[40;50["
94;"Commercial";0;1;6195.5833;"H";0;"[40;50["
95;"Informatique";0;0;9010.516666666666;"H";0;"[40;50["
96;"RH";0;0;6175.8667;"H";0;"[30;40["
97;"Commercial";1;1;6163.733299999999;"F";0;"[40;50["
98;"Compta Finances";1;1;6127.3333;"F";0;"50+"
99;"Commercial";0;0;6121.266700000001;"H";0;"[30;40["
100;"Consultant";1;0;6043.9167;"H";0;"[40;50["
101;"Commercial";1;0;6031.7833;"H";0;"[40;50["
102;"Marketing";1;0;6002.9667;"H";0;"[40;50["
103;"Commercial";0;0;5984.7667;"H";0;"[40;50["
104;"Marketing";1;0;8679.883333333333;"F";0;"50+"
105;"Commercial";1;0;5949.883300000001;"H";0;"[30;40["
106;"Marketing";0;0;5930.1667;"H";0;"[40;50["
107;"Commercial";1;0;8597.983333333334;"F";0;"50+"
108;"Consultant";1;0;5810.35;"H";0;"[30;40["
109;"Commercial";0;0;5805.8;"H";0;"[30;40["
110;"Commercial";0;0;5749.6833;"H";0;"50+"
111;"Consultant";1;1;5739.0667;"F";0;"50+"
112;"Compta Finances";1;0;8347.733333333334;"H";0;"[30;40["
113;"Consultant";1;0;5585.8833;"F";0;"-30"
114;"Commercial";1;1;5581.3333;"F";0;"[30;40["
115;"RH";1;0;5522.1833;"F";0;"50+"
116;"Marketing";1;1;5517.6333;"H";0;"[40;50["
117;"Commercial";0;0;5464.55;"H";0;"[40;50["
118;"Marketing";0;0;7965.533333333334;"H";0;"[30;40["
119;"Consultant";0;0;5455.45;"H";0;"50+"
120;"Consultant";0;0;7945.816666666667;"H";0;"50+"
121;"Consultant";1;0;5388.7167;"F";0;"[40;50["
122;"RH";1;0;5359.9;"H";0;"50+"
123;"RH";0;0;5293.1667;"F";0;"50+"
124;"Informatique";0;0;5212.7833;"H";0;"50+"
125;"RH";0;0;5106.6167;"F";0;"[40;50["
126;"Consultant";1;0;6371.516625000001;"H";0;"[40;50["
127;"Commercial";1;0;5092.9667;"F";0;"[40;50["
128;"RH";0;0;5076.2833;"F";0;"50+"
129;"RH";1;0;5067.1833;"F";0;"50+"
130;"RH";1;0;5056.5667;"F";1;"[30;40["
131;"RH";0;0;5035.3333;"H";0;"50+"
132;"Compta Finances";0;0;4988.3167;"H";0;"50+"
133;"Commercial";0;0;7254.216666666666;"F";0;"50+"
134;"Commercial";1;0;7120.750000000001;"F";0;"50+"
135;"RH";0;0;7075.25;"F";0;"[30;40["
136;"Consultant";0;1;6993.349999999999;"H";0;"[30;40["
137;"Marketing";1;0;4763.85;"F";0;"[30;40["
138;"Consultant";1;0;4712.2833;"F";0;"[40;50["
139;"Informatique";0;0;4663.75;"F";0;"50+"
140;"Marketing";0;0;4624.3167;"H";0;"[30;40["
141;"Marketing";1;0;4563.65;"F";0;"[40;50["
142;"Consultant";1;0;4516.6333;"F";0;"[40;50["
143;"RH";1;0;4499.95;"H";0;"50+"
144;"Consultant";1;0;4449.9;"H";0;"50+"
145;"Marketing";0;0;4424.1167;"F";0;"[40;50["
146;"Compta Finances";1;1;4421.0833;"H";0;"50+"
147;"Consultant";0;0;4296.7167;"H";0;"50+"
148;"Consultant";0;1;4289.1333;"F";0;"50+"
149;"Consultant";1;0;4281.55;"H";0;"[30;40["
150;"Compta Finances";0;0;4263.35;"H";0;"50+"
151;"Compta Finances";1;0;4204.2;"F";0;"50+"
152;"Compta Finances";1;0;4198.1333;"F";0;"[30;40["
153;"Informatique";0;0;6074.249999999999;"H";0;"50+"
154;"Commercial";1;0;4152.6333;"F";0;"[40;50["
155;"Consultant";0;0;4134.4333;"H";0;"[40;50["
156;"RH";1;0;6004.483333333333;"F";0;"50+"
157;"Marketing";0;0;4082.8666999999996;"F";0;"[40;50["
158;"Marketing";0;0;4022.2000000000003;"H";0;"50+"
159;"Compta Finances";0;0;4013.1;"F";0;"[30;40["
160;"Consultant";1;0;4000.9667;"H";0;"[40;50["
161;"Consultant";0;0;3891.7667;"H";0;"50+"
162;"RH";0;1;3882.6667;"H";0;"[30;40["
163;"Compta Finances";1;1;5619.249999999999;"F";0;"50+"
164;"RH";0;0;3835.65;"F";0;"50+"
165;"RH";0;0;3803.8;"H";0;"[40;50["
166;"Commercial";1;1;3800.7667;"F";0;"50+"
167;"RH";0;0;3797.7333;"F";0;"50+"
168;"RH";1;0;3705.2167;"F";0;"[40;50["
169;"Marketing";0;0;3693.0833;"H";0;"[40;50["
170;"Commercial";0;1;3677.9167;"H";0;"[30;40["
171;"Marketing";0;0;3655.1667;"H";0;"50+"
172;"Marketing";0;0;3640;"F";0;"[40;50["
173;"Marketing";1;0;3597.5333;"F";0;"[40;50["
174;"Marketing";1;0;3582.3667;"H";0;"[40;50["
175;"Consultant";1;0;3547.4833;"F";1;"-30"
176;"RH";0;1;3508.05;"H";0;"[40;50["
177;"RH";0;0;3486.8167;"H";0;"[30;40["
178;"Marketing";1;0;3462.55;"H";0;"[40;50["
179;"Consultant";0;0;3459.5167;"F";0;"50+"
180;"Compta Finances";1;0;3436.7667;"H";0;"[30;40["
181;"Compta Finances";0;0;3383.6833;"H";0;"[40;50["
182;"RH";1;0;3335.15;"H";0;"50+"
183;"Commercial";1;0;3260.8333;"F";0;"[30;40["
184;"Marketing";0;0;3256.2833;"F";0;"50+"
185;"Consultant";0;0;3232.0167;"H";0;"[40;50["
186;"RH";1;0;3218.3667;"F";0;"50+"
187;"Compta Finances";0;0;3201.6833;"F";0;"-30"
188;"Commercial";0;0;3185;"F";0;"[40;50["
189;"Consultant";0;0;3168.3167;"F";0;"[40;50["
190;"Commercial";0;0;3165.2833;"F";0;"50+"
191;"RH";0;0;4545.45;"F";0;"50+"
192;"Consultant";0;0;3097.0333;"F";0;"50+"
193;"RH";0;0;4463.549999999999;"F";0;"50+"
194;"Consultant";0;0;3033.3333;"F";0;"50+"
195;"RH";1;0;3012.1;"F";0;"50+"
196;"Marketing";1;0;2998.4500000000003;"H";0;"[30;40["
197;"Commercial";1;1;2928.6833;"F";0;"50+"
198;"Consultant";1;0;2918.0667;"H";0;"[40;50["
199;"Commercial";1;0;2916.5499999999997;"F";0;"[30;40["
200;"Marketing";0;1;2912;"F";0;"50+"
201;"Commercial";0;0;2881.6667;"F";0;"50+"
202;"Informatique";1;0;2848.3;"H";0;"[30;40["
203;"Consultant";0;0;2843.75;"H";0;"[40;50["
204;"Consultant";1;0;2834.6500000000005;"H";0;"50+"
205;"Commercial";0;0;2828.5833;"H";0;"50+"
206;"Consultant";1;0;3517.1499999999996;"H";0;"50+"
207;"Consultant";1;0;2777.0167;"H";0;"50+"
208;"Compta Finances";0;0;2769.4333;"H";0;"[30;40["
209;"RH";1;0;2767.9167;"H";0;"50+"
210;"RH";0;0;3988.833333333333;"H";0;"50+"
211;"Consultant";1;0;2731.5167;"F";0;"[40;50["
212;"Consultant";1;0;2675.4;"H";0;"50+"
213;"Compta Finances";1;0;2604.1166999999996;"H";0;"50+"
214;"Consultant";0;0;2561.65;"H";0;"[30;40["
215;"Consultant";0;0;2558.6167;"H";0;"[30;40["
216;"Commercial";0;0;2511.5999999999995;"H";0;"[30;40["
217;"RH";1;1;3656.6833333333334;"F";0;"[40;50["
218;"Consultant";0;0;2730;"F";0;"[40;50["
219;"Marketing";0;0;2426.6667;"F";0;"50+"
220;"Commercial";0;0;2396.3333;"H";0;"[40;50["
221;"Commercial";0;0;2369.0333;"F";0;"[30;40["
222;"Consultant";0;0;2578.3332968749996;"H";0;"50+"
223;"Commercial";0;0;2309.8833;"F";0;"50+"
224;"Consultant";0;0;2226.4667;"F";0;"[30;40["
225;"Consultant";1;1;2132.4333;"F";0;"[40;50["
226;"Compta Finances";0;0;2123.3333;"F";0;"50+"
227;"Compta Finances";1;1;2079.35;"F";0;"[40;50["
228;"Consultant";0;0;2073.2833;"F";0;"[40;50["
229;"Commercial";0;0;2070.25;"F";0;"50+"
230;"Consultant";1;0;2070.25;"F";1;"-30"
231;"Consultant";0;0;2996.9333333333334;"H";0;"50+"
232;"Compta Finances";0;0;2052.05;"F";0;"[30;40["
233;"Consultant";0;0;2027.7833;"F";0;"[30;40["
234;"Consultant";1;0;2024.75;"H";0;"[40;50["
235;"Compta Finances";1;0;2008.0667;"F";1;"-30"
236;"Marketing";0;0;1989.8667;"H";0;"[30;40["
237;"Compta Finances";1;0;1979.25;"H";0;"[40;50["
238;"Compta Finances";1;0;1920.1;"F";1;"[30;40["
239;"Consultant";0;0;1873.0833;"H";0;"[40;50["
240;"Marketing";1;0;1863.9833;"F";1;"[30;40["
241;"Consultant";0;0;2314.433375;"H";0;"[40;50["
242;"Compta Finances";0;0;1835.1667;"H";0;"[30;40["
243;"Compta Finances";0;1;1833.65;"H";0;"50+"
244;"Consultant";1;0;1803.3167000000003;"H";0;"[30;40["
245;"Consultant";1;0;1774.5;"F";0;"[40;50["
246;"Compta Finances";1;1;1772.9833;"H";0;"50+"
247;"Consultant";1;1;2493.3999999999996;"H";0;"50+"
248;"Consultant";1;0;1703.2167;"F";0;"[40;50["
249;"Consultant";1;0;1697.15;"H";0;"50+"
250;"Marketing";1;0;1669.8500000000001;"H";0;"-30"
251;"Consultant";0;0;1651.65;"H";0;"[40;50["
252;"Marketing";0;1;1598.5667;"F";0;"[30;40["
253;"Commercial";1;1;1590.9833;"H";0;"[40;50["
254;"Consultant";1;0;1619.8;"H";0;"50+"
255;"Compta Finances";0;1;1545.4833333333333;"F";0;"[30;40["
